"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 11:45:36 CST 2024","Fri Mar 15 11:45:36 CST 2024","427","testcase","test01_login","TestLogin","","","test_005_login_success[json_data0]",""
"passed","Fri Mar 15 11:45:35 CST 2024","Fri Mar 15 11:45:35 CST 2024","459","testcase","test01_login","TestLogin","","","test_002_login_success[json_data0]",""
"failed","Fri Mar 15 11:45:41 CST 2024","Fri Mar 15 11:45:42 CST 2024","707","testcase","test02_login_out","TestLogin_out","","","test_007_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:36 CST 2024","Fri Mar 15 11:45:37 CST 2024","296","testcase","test01_login","TestLogin","","","test_008_login_failed[json_data0]",""
"passed","Fri Mar 15 11:45:35 CST 2024","Fri Mar 15 11:45:35 CST 2024","205","testcase","test01_login","TestLogin","","","test_003_login_failed[json_data0]",""
"passed","Fri Mar 15 11:45:37 CST 2024","Fri Mar 15 11:45:37 CST 2024","225","testcase","test01_login","TestLogin","","","test_009_login_failed[json_data0]",""
"passed","Fri Mar 15 11:45:40 CST 2024","Fri Mar 15 11:45:40 CST 2024","145","testcase","test02_login_out","TestLogin_out","","","test_005_login_out_failed[json_data0]",""
"failed","Fri Mar 15 11:45:42 CST 2024","Fri Mar 15 11:45:43 CST 2024","751","testcase","test02_login_out","TestLogin_out","","","test_009_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:34 CST 2024","Fri Mar 15 11:45:35 CST 2024","492","testcase","test01_login","TestLogin","","","test_001_login_success[json_data0]",""
"failed","Fri Mar 15 11:45:42 CST 2024","Fri Mar 15 11:45:42 CST 2024","561","testcase","test02_login_out","TestLogin_out","","","test_008_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:39 CST 2024","Fri Mar 15 11:45:39 CST 2024","794","testcase","test02_login_out","TestLogin_out","","","test_003_login_out_success[json_data0]",""
"passed","Fri Mar 15 11:45:39 CST 2024","Fri Mar 15 11:45:40 CST 2024","514","testcase","test02_login_out","TestLogin_out","","","test_004_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:35 CST 2024","Fri Mar 15 11:45:36 CST 2024","218","testcase","test01_login","TestLogin","","","test_004_login_failed[json_data0]",""
"passed","Fri Mar 15 11:45:44 CST 2024","Fri Mar 15 11:45:44 CST 2024","0","testcase","test222","","","","test_json[data0]",""
"passed","Fri Mar 15 11:45:38 CST 2024","Fri Mar 15 11:45:39 CST 2024","193","testcase","test02_login_out","TestLogin_out","","","test_002_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:36 CST 2024","Fri Mar 15 11:45:36 CST 2024","155","testcase","test01_login","TestLogin","","","test_006_login_failed[json_data0]",""
"failed","Fri Mar 15 11:45:43 CST 2024","Fri Mar 15 11:45:44 CST 2024","1201","testcase","test02_login_out","TestLogin_out","","","test_010_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:37 CST 2024","Fri Mar 15 11:45:37 CST 2024","350","testcase","test01_login","TestLogin","","","test_008_login_failed[json_data1]",""
"failed","Fri Mar 15 11:45:40 CST 2024","Fri Mar 15 11:45:41 CST 2024","756","testcase","test02_login_out","TestLogin_out","","","test_006_login_out_failed[json_data0]",""
"passed","Fri Mar 15 11:45:44 CST 2024","Fri Mar 15 11:45:44 CST 2024","0","testcase","test222","","","","test_add[info0]",""
"passed","Fri Mar 15 11:45:37 CST 2024","Fri Mar 15 11:45:38 CST 2024","1009","testcase","test02_login_out","TestLogin_out","","","test_001_login_out_success[json_data0]",""
"passed","Fri Mar 15 11:45:36 CST 2024","Fri Mar 15 11:45:36 CST 2024","229","testcase","test01_login","TestLogin","","","test_007_login_failed[json_data0]",""
